Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Villaverde S., García-Encina P.A., Fdz-Polanco F.",20836523700;6602695743;6701491323;,Influence of pH over nitrifying biofilm activity in submerged biofilters,1997,Water Research,31,5,,1180,1186,,235,10.1016/S0043-1354(96)00376-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343567809&doi=10.1016%2fS0043-1354%2896%2900376-4&partnerID=40&md5=61d92e93b14df0252f76311a0f04e844,"Environment Technology Group, Chemical Engineering Department, University of Valladolid, 47011 Valladolid, Spain","Villaverde, S., Environment Technology Group, Chemical Engineering Department, University of Valladolid, 47011 Valladolid, Spain; García-Encina, P.A., Environment Technology Group, Chemical Engineering Department, University of Valladolid, 47011 Valladolid, Spain; Fdz-Polanco, F., Environment Technology Group, Chemical Engineering Department, University of Valladolid, 47011 Valladolid, Spain","The influence of pH over nitrification in submerged biofilters has been studied through the observation of three pH effects over the nitrifying biofilm: activation-deactivation, substrate limitation, and free ammonia inhibition. Within a pH range of 5.0-9.0, a pH increase of one unit produce a 13% increase on the nitrification efficiency. A stoichiometry of 7.1 mg CaCO3/mg N was measured for the process, which became alkalinity limited below pH 5.0. The highest activity of ammonium oxidizers and the highest values of volatile attached solids (VAS) in the filter were obtained at pH 8.2. The concentration of volatile attached solids (VAS) was regulated by free ammonia inhibition, substrate limitation (NH4+ concentration), and reactor hydrodynamics. Inhibition by free ammonia controlled bacteria activity at pH greater than 7.5, observing an increase of microorganisms concentration in the filter as a specific free ammonia concentration (mg NH(3free)-N gVAS-1) decreased. A nitrite accumulation of up to 80-90% was obtained for specific inhibitory concentrations greater than 1.5 mg NH(3free)-N gVAS-1 resulting from the selective inhibition of nitrite oxidizers.The influence of pH over nitrification in submerged biofilters has been studied through the observation of three pH effects over the nitrifying biofilm: activation-deactivation, substrate limitation, and free ammonia inhibition. Within a pH range of 5.0-9.0, a pH increase of one unit produce a 13% increase on the nitrification efficiency. A stoichiometry of 7.1 mg CaCO3mg N was measured for the process, which became alkalinity limited below pH 5.0. The highest activity of ammonium oxidizers and the highest values of volatile attached solids (VAS) in the filter were obtained at pH 8.2. The concentration of volatile attached solids (VAS) was regulated by free ammonia inhibition, substrate limitation (NH4+ concentration), and reactor hydrodynamics. Inhibition by free ammonia controlled bacteria activity at pH greater than 7.5, observing an increase of microorganisms concentration in the filter as a specific free ammonia concentration (mg NH3free-N gVAS-1) decreased. A nitrite accumulation of up to 80-90% was obtained for specific inhibitory concentrations greater than 1.5 mg NH3free-N gVAS-1 resulting from the selective inhibition of nitrite oxidizers.",Biofilm; Free ammonia; Inhibition; Nitrification; pH; Submerged biofilter; Wastewater treatment,Biofilms; Nitrification; pH; pH effects; Wastewater treatment; Free ammonia; Inhibition; Submerged biofilters; Volatile attached solids; Biological water treatment; ammonia; nitrite; article; biofilm; biofilter; hydrodynamics; nitrification; pH; priority journal; stoichiometry; waste water management,"Villaverde, S.; Environment Technology Group, , 47011 Valladolid, Spain",,"Elsevier Science Ltd, Oxford",431354,,WATRA,,English,WATER RES.,Article,Final,,Scopus,2-s2.0-0343567809
"Fox T., Fimeche C.",,"Global Food Waste Not, Want Not",2013,"Global Food: Waste Not, Want Not",,,,,,,223,,,,"Fox, T.; Fimeche, C.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-84876091094
"Turcios A.E., Papenbrock J.",56088073600;6603715015;,Sustainable treatment of aquaculture effluents-What can we learn from the past for the future?,2014,Sustainability (Switzerland),6,2,,836,856,,220,10.3390/su6020836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897062341&doi=10.3390%2fsu6020836&partnerID=40&md5=a847eb709ab615cfef95be80eab9e9c4,"Institut für Botanik, Herrenhäuserstr. 2, D-30419 Hannover, Germany; Facultad de Agronomía, Universidad de San Carlos de Guatemala, Guatemala","Turcios, A.E., Institut für Botanik, Herrenhäuserstr. 2, D-30419 Hannover, Germany, Facultad de Agronomía, Universidad de San Carlos de Guatemala, Guatemala; Papenbrock, J., Institut für Botanik, Herrenhäuserstr. 2, D-30419 Hannover, Germany","Many aquaculture systems generate high amounts of wastewater containing compounds such as suspended solids, total nitrogen and total phosphorus. Today, aquaculture is imperative because fish demand is increasing. However, the load of waste is directly proportional to the fish production. Therefore, it is necessary to develop more intensive fish culture with efficient systems for wastewater treatment. A number of physical, chemical and biological methods used in conventional wastewater treatment have been applied in aquaculture systems. Constructed wetlands technology is becoming more and more important in recirculating aquaculture systems (RAS) because wetlands have proven to be well-established and a cost-effective method for treating wastewater. This review gives an overview about possibilities to avoid the pollution of water resources; it focuses initially on the use of systems combining aquaculture and plants with a historical review of aquaculture and the treatment of its effluents. It discusses the present state, taking into account the load of pollutants in wastewater such as nitrates and phosphates, and finishes with recommendations to prevent or at least reduce the pollution of water resources in the future.",Aquaculture; Aquaponics; Halophytes; Nutrients; Salicornia spp.; Wastewater; Wetlands,aquaculture effluent; constructed wetland; future prospect; halophyte; pollution tax; recirculating system; sustainable development; waste treatment; wastewater; water resource,"Papenbrock, J.; Institut für Botanik, Herrenhäuserstr. 2, D-30419 Hannover, Germany; email: Jutta.Papenbrock@botanik.uni-hannover.de",,MDPI,20711050,,,,English,Sustainability,Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84897062341
"Losordo T.M., Masser M.P., Rakocy J.",,Recirculating Aquaculture Tank Production Systems. An Overview of Critical Conservations,1998,Recirculating Aquaculture Tank Production Systems: An Overview of Critical Considerations,,,,,,,217,,,,"Losordo, T.M.; Masser, M.P.; Rakocy, J.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-0005876262
"Schneider O., Sereti V., Eding E.H., Verreth J.A.J.",8754486100;57194623825;6506858616;57207022070;,Analysis of nutrient flows in integrated intensive aquaculture systems,2005,Aquacultural Engineering,32,4-Mar,,379,401,,213,10.1016/j.aquaeng.2004.09.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-13744253629&doi=10.1016%2fj.aquaeng.2004.09.001&partnerID=40&md5=6894248af51c38ec7267726193e32746,"Wageningen University, Department of Animal Sciences, Fish Culture and Fisheries, P.O. Box 338, 6700 AH Wageningen, Netherlands","Schneider, O., Wageningen University, Department of Animal Sciences, Fish Culture and Fisheries, P.O. Box 338, 6700 AH Wageningen, Netherlands; Sereti, V., Wageningen University, Department of Animal Sciences, Fish Culture and Fisheries, P.O. Box 338, 6700 AH Wageningen, Netherlands; Eding, E.H., Wageningen University, Department of Animal Sciences, Fish Culture and Fisheries, P.O. Box 338, 6700 AH Wageningen, Netherlands; Verreth, J.A.J., Wageningen University, Department of Animal Sciences, Fish Culture and Fisheries, P.O. Box 338, 6700 AH Wageningen, Netherlands","This paper analyses nutrient conversions, which are taking place in integrated intensive aquaculture systems. In these systems fish is cultured next to other organisms, which are converting otherwise discharged nutrients into valuable products. These conversions are analyzed based on nitrogen and phosphorous balances using a mass balance approach. The analytical concept of this review comprises a hypothetical system design with five modules: (1) the conversion of feed nutrients into fish biomass, the ""Fish-Biomass- Converter""; (2) the separation of solid and dissolved fish waste/nutrients; the ""Fish-Waste-Processor""; (3) the conversion of dissolved fish waste/nutrients, the ""Phototrophic-herbivore-Converter""; (4 and 5) the conversion of solid fish waste, the ""Bacterial-Waste-Converter"", or the ""Detrivorous-Converter"". In the reviewed examples, fish culture alone retains 20-50% feed nitrogen (N) and 15-65% feed phosphorous (P). The combination of fish culture with phototrophic conversion increases nutrient retention of feed N by 15-50% and feed P by up to 53%. If in addition herbivore consumption is included, nutrient retention decreases by 60-85% feed N and 50-90% feed P. This is according to the general observation of nutrient losses from one trophic level to the next. The conversion of nutrients into bacteria and detrivorous worm biomass contributes only in smaller margins (e.g. 7% feed N and 6% feed P and 0.06% feed N 0.03 × 10-3% feed P, respectively). All integrated modules have their specific limitations, which are related to uptake kinetics, nutrient preference, unwanted conversion processes and abiotic factors. © 2004 Elsevier B.V. All rights reserved.",Abalone; Algae; Bacteria; Conversion; Finfish; Integrated aquaculture; Nutrient; Recirculating aquaculture systems; Retention,Bacteria; Biomass; Fisheries; Microorganisms; Nitrogen; Phosphorus; Abiotic factors; Aquaculture systems; Fish wastes; Aquaculture; aquaculture; finfish; nutrient availability; Bacteria; Biomass; Fishes; Microorganisms; Nitrogen; Nutrients; Phosphorus; algae; Bacteria (microorganisms); Haliotis corrugata,"Schneider, O.; Wageningen University, P.O. Box 338, 6700 AH Wageningen, Netherlands; email: oliver.schneider@wur.nl",,,1448609,,AQEND,,English,Aquac. Eng.,Article,Final,,Scopus,2-s2.0-13744253629
"Ismail B.I., Ahmed W.H.",55397095500;16306231100;,Thermoelectric power generation using waste-heat energy as an alternative green technology,2009,Recent Patents on Electrical Engineering,2,1,,27,39,,180,10.2174/1874476110902010027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951630066&doi=10.2174%2f1874476110902010027&partnerID=40&md5=a60bb05a534aaa9ea56c97638707d949,"Department of Mechanical Engineering, Lakehead University, Canada; Component Life Technology, Atomic Energy of Canada Ltd., Canada","Ismail, B.I., Department of Mechanical Engineering, Lakehead University, Canada; Ahmed, W.H., Component Life Technology, Atomic Energy of Canada Ltd., Canada","In recent years, an increasing concern of environmental issues of emissions, in particular global warming and the limitations of energy resources has resulted in extensive research into novel technologies of generating electrical power. Thermoelectric power generators have emerged as a promising alternative green technology due to their distinct advantages. Thermoelectric power generation offer a potential application in the direct conversion of waste-heat energy into electrical power where it is unnecessary to consider the cost of the thermal energy input. The application of this alternative green technology in converting waste-heat energy directly into electrical power can also improve the overall efficiencies of energy conversion systems. In this paper, a background on the basic concepts of thermoelectric power generation is presented and recent patents of thermoelectric power generation with their important and relevant applications to waste-heat energy are reviewed and discussed. © 2009 Bentham Science Publishers Ltd.",Alternative green technology; Direct energy conversion; Electrical power; Thermoelectric materials; Thermoelectric power generation; Waste-heat recovery,Alternative green technology; Electrical power; Green technology; Thermoelectric material; Thermoelectric materials; Waste-heat recovery; Direct energy conversion; Electric generators; Electric power supplies to apparatus; Electricity; Energy transfer; Global warming; Technology; Thermoelectric energy conversion; Thermoelectric equipment; Thermoelectric power; Waste heat; Energy conversion,"Ismail, B. I.; Department of Mechanical Engineering, Canada; email: bismail@lakeheadu.ca",,,18744761,,,,English,Recent Pat. Electr. Eng.,Review,Final,,Scopus,2-s2.0-77951630066
"Lennard W.A., Leonard B.V.",7005055481;7201489227;,"A comparison of three different hydroponic sub-systems (gravel bed, floating and nutrient film technique) in an Aquaponic test system",2006,Aquaculture International,14,6,,539,550,,180,10.1007/s10499-006-9053-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750625225&doi=10.1007%2fs10499-006-9053-2&partnerID=40&md5=8ff76071aa70cdc5b38abb2ae8e41e21,"School of Applied Sciences, Department of Biotechnology and Environmental Biology, RMIT University, Plenty Road 71, Bundoora, VIC 3083, Australia","Lennard, W.A., School of Applied Sciences, Department of Biotechnology and Environmental Biology, RMIT University, Plenty Road 71, Bundoora, VIC 3083, Australia; Leonard, B.V., School of Applied Sciences, Department of Biotechnology and Environmental Biology, RMIT University, Plenty Road 71, Bundoora, VIC 3083, Australia","Murray Cod, Maccullochella peelii peelii (Mitchell), and Green Oak lettuce, Lactuca sativa, were used to test for differences between three hydroponic subsystems, Gravel Bed, Floating Raft and Nutrient Film Technique (NFT), in a freshwater Aquaponic test system, where plant nutrients were supplied from fish wastes while plants stripped nutrients from the waste water before it was returned to the fish. The Murray Cod had FCR's and biomass gains that were statistically identical in all systems. Lettuce yields were good, and in terms of biomass gain and yield, followed the relationship Gravel bed > Floating > NFT, with significant differences seen between all treatments. The NFT treatment was significantly less efficient than the other two treatments in terms of nitrate removal (20% less efficient), whilst no significant difference was seen between any test treatments in terms of phosphate removal. In terms of dissolved oxygen, water replacement and conductivity, no significant differences were observed between any test treatments. Overall, results suggest that NFT hydroponic sub-systems are less efficient at both removing nutrients from fish culture water and producing plant biomass or yield than Gravel bed or Floating hydroponic sub-systems in an Aquaponic context. Aquaponic system designers need to take these differences into account when designing hydroponic components within aquaponic systems. © Springer Science+Business Media B.V. 2006.",Aquaponic; Biological nutrient removal; Hydroponic; Murray Cod; NFT; Nitrate; Phosphate; Waste water,aquaculture; hydroponics; nitrate; phosphate; wastewater; Lactuca; Lactuca sativa; Maccullochella peelii peelii,"Lennard, W.A.; School of Applied Sciences, Plenty Road 71, Bundoora, VIC 3083, Australia; email: S8702774@student.rmit.edu.au",,,9676120,,,,English,Aquac. Int.,Article,Final,,Scopus,2-s2.0-33750625225
"Saraf M., Pandya U., Thakkar A.",57210272596;24605786100;55897971600;,Role of allelochemicals in plant growth promoting rhizobacteria for biocontrol of phytopathogens,2014,Microbiological Research,169,1,,18,29,,165,10.1016/j.micres.2013.08.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889102650&doi=10.1016%2fj.micres.2013.08.009&partnerID=40&md5=bfa1fe110c19673573aa17142c950837,"Department of Microbiology and Biotechnology, University School of Sciences, Gujarat University, Ahmedabad 380013, Gujarat, India","Saraf, M., Department of Microbiology and Biotechnology, University School of Sciences, Gujarat University, Ahmedabad 380013, Gujarat, India; Pandya, U., Department of Microbiology and Biotechnology, University School of Sciences, Gujarat University, Ahmedabad 380013, Gujarat, India; Thakkar, A., Department of Microbiology and Biotechnology, University School of Sciences, Gujarat University, Ahmedabad 380013, Gujarat, India","Soil borne fungal diseases pose serious constraints on agro-productivity. Biological control is non-hazardous strategy to control plant pathogens and improve crop productivity. PGPR (plant growth promoting rhizobacteria) have long been used as plant disease control agents. PGPR produced a wide range of secondary compounds that may act as signals-that is, allelochemicals that include metabolites, siderophores, antibiotics, volatile metabolites, enzymes and others. Their mode of action and molecular mechanisms provide a great awareness for their application for crop disease management. The present review highlights the role of PGPR strains, specifically referring to allelochemicals produced and molecular mechanisms. Further research to fine tune combinations of allelochemicals, plant-microbe-pathogen interaction will ultimately lead to better disease control. © 2013 Elsevier GmbH.",Allelochemicals; Biological control; Integrated plant disease management; Microbial antagonism,"Allelochemicals; Biological controls; Integrated plants; Microbial antagonism; Molecular mechanism; Plant growth promoting rhizobacteria; Secondary compounds; Volatile metabolites; Bacteria; Crops; Metabolites; Pathogens; Productivity; Plants (botany); allelochemical; antagonism; antibiotics; biocontrol agent; crop; disease; disease control; growth rate; pathogen; plant; rhizobacterium; Rhizobiales; pheromone; Allelochemicals; antibiosis; article; bacterium; biological pest control; drug effect; Integrated plant disease management; metabolism; microbiology; organismal interaction; plant; plant development; plant disease; Allelochemicals; Biological control; Integrated plant disease management; Microbial antagonism; Bacteria; Microbial Interactions; Pest Control, Biological; Pheromones; Plant Development; Plant Diseases; Plants","Saraf, M.; Department of Microbiology and Biotechnology, , Ahmedabad 380013, Gujarat, India; email: sarafmeenu@gmail.com",,,9445013,,MCRSE,24176815,English,Microbiol Res.,Article,Final,,Scopus,2-s2.0-84889102650
Diver S.,,Aquaponics-integration of hydroponics with aquaculture,2006,Aquaponics-Integration of Hydroponics with Aquaculture,,,,1,28,,158,,,,"Diver, S.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-48449094556
"Endut A., Jusoh A., Ali N., Wan Nik W.B., Hassan A.",34978359700;57202652904;15838741500;56463144300;39961482800;,A study on the optimal hydraulic loading rate and plant ratios in recirculation aquaponic system,2010,Bioresource Technology,101,5,,1511,1517,,147,10.1016/j.biortech.2009.09.040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951241374&doi=10.1016%2fj.biortech.2009.09.040&partnerID=40&md5=59dfd6c5193668c24d6903f5b2075f41,"Faculty of Innovative Design and Technology, University Darul Iman Malaysia, KUSZA Campus, 21300 Kuala Terengganu, Malaysia; Faculty of Science and Technology, University Malaysia Terengganu, 21030 Kuala Terengganu, Malaysia; Faculty of Maritime Studies and Marine Science, University Malaysia Terengganu, 21030 Kuala Terengganu, Malaysia; Institute of Tropical Aquaculture, University Malaysia Terengganu, 21030 Kuala Terengganu, Malaysia","Endut, A., Faculty of Innovative Design and Technology, University Darul Iman Malaysia, KUSZA Campus, 21300 Kuala Terengganu, Malaysia; Jusoh, A., Faculty of Science and Technology, University Malaysia Terengganu, 21030 Kuala Terengganu, Malaysia; Ali, N., Faculty of Science and Technology, University Malaysia Terengganu, 21030 Kuala Terengganu, Malaysia; Wan Nik, W.B., Faculty of Maritime Studies and Marine Science, University Malaysia Terengganu, 21030 Kuala Terengganu, Malaysia; Hassan, A., Institute of Tropical Aquaculture, University Malaysia Terengganu, 21030 Kuala Terengganu, Malaysia","The growths of the African catfish (Clarias gariepinus) and water spinach (Ipomoea aquatica) were evaluated in recirculation aquaponic system (RAS). Fish production performance, plant growth and nutrient removal were measured and their dependence on hydraulic loading rate (HLR) was assessed. Fish production did not differ significantly between hydraulic loading rates. In contrast to the fish production, the water spinach yield was significantly higher in the lower hydraulic loading rate. Fish production, plant growth and percentage nutrient removal were highest at hydraulic loading rate of 1.28 m/day. The ratio of fish to plant production has been calculated to balance nutrient generation from fish with nutrient removal by plants and the optimum ratio was 15-42 gram of fish feed/m2 of plant growing area. Each unit in RAS was evaluated in terms of oxygen demand. Using specified feeding regime, mass balance equations were applied to quantify the waste discharges from rearing tanks and treatment units. The waste discharged was found to be strongly dependent on hydraulic loading rate. © 2009 Elsevier Ltd.",African catfish; Aquaponic; Hydraulic loading rate; Water spinach,"Fish; Nutrients; Turbines; Waste treatment; Fish; Nutrients; Waste treatment; African catfishes; Aquaponic; Aquaponic system; Clarias gariepinus; Hydraulic loading rates; Mass balance equations; Plant production; Water spinachs; African catfish; Aquaponic; Aquaponic system; Clarias gariepinus; Feeding regime; Fish feed; Fish production; Hydraulic loading rates; Mass balance equations; Nutrient removal; Optimum ratio; Plant growing; Plant growth; Plant production; Rearing tanks; Recirculations; Treatment units; Waste discharges; Loading; Turbines; artificial diet; fish culture; fishery production; growth rate; leafy vegetable; mass balance; optimization; rearing; recirculating system; waste disposal; yield response; aquaculture effluent; dicotyledon; hydraulic conductivity; mass balance; optimization; pollutant removal; recirculating system; teleost; waste disposal; article; biomass; catfish; Clarias gariepinus; controlled study; Ipomoea; Ipomoea aquatica; nonhuman; oxygen consumption; plant growth; priority journal; recirculation aquaponic system; technology; waste management; animal; aquaculture; fish; growth, development and aging; hydroponics; instrumentation; Ipomoea; kinetics; methodology; physiology; growth rate; plant nutrient; plant yield; Clarias gariepinus; Ipomoea aquatica; Clarias gariepinus; Ipomoea aquatica; oxygen; water; Animals; Aquaculture; Fishes; Hydroponics; Ipomoea; Kinetics; Oxygen; Oxygen Consumption; Water","Endut, A.; Faculty of Innovative Design and Technology, , 21300 Kuala Terengganu, Malaysia; email: enazizah@udm.edu.my",,Elsevier Ltd,9608524,,BIRTE,19819130,English,Bioresour. Technol.,Article,Final,,Scopus,2-s2.0-77951241374
Rakocy J.E.,6505846940;,Aquaponics-Integrating Fish and Plant Culture,2012,Aquaculture Production Systems,,,,344,386,,143,10.1002/9781118250105.ch14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886133728&doi=10.1002%2f9781118250105.ch14&partnerID=40&md5=b93d7a9f8da0b45329b42baf4e957c59,"University of the Virgin Islands, Agricultural Experiment Station St. Croix, Virgin Islands (U.S.)","Rakocy, J.E., University of the Virgin Islands, Agricultural Experiment Station St. Croix, Virgin Islands (U.S.)",[No abstract available],"Aquaponics, fish and plant culture integration; Construction materials; Crop production systems; Economics; Fish production; Hydroponic subsystems; Nutrient dynamics; Pest and disease control; Plant growth requirements; System design approaches",,"Rakocy, J.E.; University of the Virgin Islands, Virgin Islands (U.S.)",,Wiley-Blackwell,,9.78081E+12,,,English,Aquaculture Production Syst.,Book Chapter,Final,,Scopus,2-s2.0-84886133728
"Love D.C., Fry J.P., Genello L., Hill E.S., Frederick J.A., Li X., Semmens K.",9742209600;26643940800;56272322000;56273090400;7102432825;56271576300;6506420954;,An international survey of aquaponics practitioners,2014,PLoS ONE,9,7,e102662,,,,141,10.1371/journal.pone.0102662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904315355&doi=10.1371%2fjournal.pone.0102662&partnerID=40&md5=390b655901116eb1a98c57fe0e79e0ca,"Johns Hopkins Center for a Livable Future, Johns Hopkins University, Baltimore, MD, United States; Department of Environmental Health Sciences, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, United States; University of Maryland Extension, Baltimore, MD, United States; Maryland Sea Grant College, University of Maryland College Park, United States; Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, United States; Agriculture and Natural Resources Unit, West Virginia University Extension Service, Morgantown, WV, United States","Love, D.C., Johns Hopkins Center for a Livable Future, Johns Hopkins University, Baltimore, MD, United States, Department of Environmental Health Sciences, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, United States; Fry, J.P., Johns Hopkins Center for a Livable Future, Johns Hopkins University, Baltimore, MD, United States, Department of Environmental Health Sciences, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, United States; Genello, L., Johns Hopkins Center for a Livable Future, Johns Hopkins University, Baltimore, MD, United States, Department of Environmental Health Sciences, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, United States; Hill, E.S., University of Maryland Extension, Baltimore, MD, United States; Frederick, J.A., Maryland Sea Grant College, University of Maryland College Park, United States; Li, X., Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, United States; Semmens, K., Agriculture and Natural Resources Unit, West Virginia University Extension Service, Morgantown, WV, United States","Aquaponics, a combination of fish farming and soilless plant farming, is growing in popularity and gaining attention as an important and potentially more sustainable method of food production. The aim of this study was to document and analyze the production methods, experiences, motivations, and demographics of aquaponics practitioners in the United States (US) and internationally. The survey was distributed online using a chain sampling method that relied on referrals from initial respondents, with 809 respondents meeting the inclusion criteria. The majority of respondents were from the US (80%), male (78%), and had at least a high school degree (91%). The mean age of respondents was 47±13 years old. Most respondents (52%) had three years or less of aquaponics experience. Respondents typically raised tilapia or ornamental fish and a variety of leafy green vegetables, herbs, and fruiting crops. Respondents were most often motivated to become involved in aquaponics to grow their own food, for environmental sustainability reasons, and for personal health reasons. Many respondents employed more than one method to raise crops, and used alternative or environmentally sustainable sources of energy, water, and fish feed. In general, our findings suggest that aquaponics is a dynamic and rapidly growing field with participants who are actively experimenting with and adopting new technologies. Additional research and outreach is needed to evaluate and communicate best practices within the field. This survey is the first large-scale effort to track aquaponics in the US and provides information that can better inform policy, research, and education efforts regarding aquaponics as it matures and possibly evolves into a mainstream form of agriculture. © 2014 Love et al.",,"adult; aged; animal food; aquaponics; article; controlled study; crop production; demography; energy resource; environmental sustainability; farming system; female; food industry; fruiting; health behavior; herb; human; international cooperation; leafy green vegetable; male; middle aged; motivation; ornamental species; personal experience; pisciculture; sampling; Tilapia; United States; vegetable; water supply; young adult; animal; aquaculture; fish; growth, development and aging; hydroponics; Internet; procedures; questionnaire; trends; Animals; Aquaculture; Fishes; Humans; Hydroponics; Internet; Surveys and Questionnaires; United States; Vegetables",,,Public Library of Science,19326203,,POLNC,25029125,English,PLoS ONE,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84904315355
"Seawright D.E., Stickney R.R., Walker R.B.",8049887700;7004079746;35184469000;,Nutrient dynamics in integrated aquaculture-hydroponics systems,1998,Aquaculture,160,4-Mar,,215,237,,136,10.1016/S0044-8486(97)00168-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032579157&doi=10.1016%2fS0044-8486%2897%2900168-3&partnerID=40&md5=2c630db3313424f0e4fe4c5841897fda,"AmeriCulture, HC 65 Box 260C, Animas, NM 88020, United States; Sea Grant, Texas A and M University, 1716 Briarcrest, Bryan, TX 77802-2700, United States; University of Washington, Botany Department, Box 351330, Seattle, WA 98195, United States","Seawright, D.E., AmeriCulture, HC 65 Box 260C, Animas, NM 88020, United States; Stickney, R.R., Sea Grant, Texas A and M University, 1716 Briarcrest, Bryan, TX 77802-2700, United States; Walker, R.B., University of Washington, Botany Department, Box 351330, Seattle, WA 98195, United States","Changes in concentrations of dissolved Ca, Cu, Fe, K, Mg, Mn, NO3-N, Na, P, and Zn, as a function of increasing biomass of Nile tilapia (Oreochromis niloticus) fed a commercial diet in integrated aquaculture-hydroponic systems growing romaine lettuce (Lactuca sativa longifolia cv. Jericho), were monitored over three, 28-day experimental trials. The integrated systems, 320-330 l in volume, were filled initially with a complete nutrient hydroponic solution, and were operated at a 100% recirculation rate. Treatment levels were 0 (control) 151, 377, 902, and 1804 g of fish/system and treatments were conducted in duplicate. Nutrient concentrations and mutual ratios of nutrients quickly departed from initial conditions because the relative proportion of dissolved nutrients excreted by fish and subsequently absorbed by plants differed. The removal of nutrients by lettuce, fish, and solids collection was determined as a function of treatment size. The objective of this study was to quantify both the flow of nutrients through representative integrated aquaculture-hydroponics systems and the effects of different quantities of feed nutrient input on changes in nutrient-specific concentrations.",Feeding and nutrition-fish; Hydroponics; Integrated aquaculture; New feeds; Oreochromis niloticus,aquaculture-hydroponics sytem; nutrient dynamics; Lactuca sativa; Oreochromis niloticus,"Seawright, D.E.; AmeriCulture, HC 65 Box 260C, Animas, NM 88020, United States",,,448486,,AQCLA,,English,Aquaculture,Article,Final,,Scopus,2-s2.0-0032579157
"Rakocy J.E., Shultz R.C., Bailey D.S., Thoman E.S.",6505846940;35280522800;55764676400;7005284813;,Aquaponic production of tilapia and basil: Comparing a batch and staggered cropping system,2004,Acta Horticulturae,648,,,63,69,,130,10.17660/ActaHortic.2004.648.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749367146&doi=10.17660%2fActaHortic.2004.648.8&partnerID=40&md5=510504e76ef138a976a626dd75dfcfb5,"Agricultural Experiment Station, University of the Virgin Islands RR 2, Box 10,000, Kingshill, VI 00850, United States","Rakocy, J.E., Agricultural Experiment Station, University of the Virgin Islands RR 2, Box 10,000, Kingshill, VI 00850, United States; Shultz, R.C., Agricultural Experiment Station, University of the Virgin Islands RR 2, Box 10,000, Kingshill, VI 00850, United States; Bailey, D.S., Agricultural Experiment Station, University of the Virgin Islands RR 2, Box 10,000, Kingshill, VI 00850, United States; Thoman, E.S., Agricultural Experiment Station, University of the Virgin Islands RR 2, Box 10,000, Kingshill, VI 00850, United States","Aquaponics is the combined culture of fish and hydroponic plants in recirculating systems. Aquaculture effluent provides most of the nutrients required by plants if the optimum ratio between daily feed input and plant growing area is maintained. An experiment was conducted in an outdoor, commercial-scale aquaponic system on 0.05 ha of land in the tropics. The objectives were to determine the production of tilapia and basil using batch and staggered cropping systems, compare aquaponics with field crop production and evaluate the ratio of feed input to plant growing area. The projected annual production of tilapia was 4.37 t. The mean yield of basil was 2.0, 1.8 and 0.6 kg/m2 using batch, staggered and field cropping systems, respectively. Projected annual production of the system was 5.0 t of basil with staggered production. Nutrient deficiency symptom2s appeared only in the batch-cultured basil. The feed input ratio was 81.4 g/day/m2 for batch culture and 99.6 g/day/m2 for staggered production. Staggered production moderated the uptake of nutrients. Basil production is sustainable in an aquaponic system with a feed input ratio of 99.6 g/day/m2 and a staggered cropping system.",Aquaculture; Aquaponics; Hydroponic; Nutrient; Recirculating system,,,,International Society for Horticultural Science,5677572,9.78907E+12,,,English,Acta Hortic.,Conference Paper,Final,,Scopus,2-s2.0-33749367146
